"method","rates","atoll","site","depth","transect","coralg","lower.ci","upper.ci"
"CoralNet","chagos_v2_w_bio","EG","Lubine","10m","T1",4.7817,3.656,6.0663
"CoralNet","chagos_v2_w_bio","EG","Lubine","10m","T2",3.2306,2.4831,4.087
"CoralNet","chagos_v2_w_bio","EG","Lubine","10m","T3",4.6715,3.561,5.9466
"CoralNet","chagos_v2_w_bio","EG","Middle","10m","T1",13.8066,11.0136,16.9448
"CoralNet","chagos_v2_w_bio","EG","Middle","10m","T2",3.3608,2.6662,4.1444
"CoralNet","chagos_v2_w_bio","EG","Middle","10m","T3",9.3041,7.4823,11.3373
"CoralNet","chagos_v2_w_bio","EG","North","10m","T1",9.2822,7.5037,11.2537
"CoralNet","chagos_v2_w_bio","EG","North","10m","T2",18.345,14.804,22.2872
"CoralNet","chagos_v2_w_bio","EG","North","10m","T3",9.6039,7.7082,11.7268
"CoralNet","chagos_v2_w_bio","EG","Tattamucca","10m","T1",5.1969,4.1119,6.4209
"CoralNet","chagos_v2_w_bio","EG","Tattamucca","10m","T2",6.756,5.424,8.2468
"CoralNet","chagos_v2_w_bio","EG","Tattamucca","10m","T3",13.7113,11.0347,16.7004
"CoralNet","chagos_v2_w_bio","GCB","MidBroCh","10m","T1",1.6505,1.3135,2.0271
"CoralNet","chagos_v2_w_bio","GCB","MidBroCh","10m","T2",2.0976,1.6743,2.5678
"CoralNet","chagos_v2_w_bio","GCB","MidBroCh","10m","T3",0.9735,0.7675,1.2044
"CoralNet","chagos_v2_w_bio","GCB","MidBroDr","10m","T1",2.5477,2.0081,3.1511
"CoralNet","chagos_v2_w_bio","GCB","MidBroDr","10m","T2",0.7562,0.591,0.9451
"CoralNet","chagos_v2_w_bio","GCB","MidBroDr","10m","T3",2.3171,1.8247,2.8744
"CoralNet","chagos_v2_w_bio","GCB","NorthBro","10m","T1",0.5561,0.4435,0.6824
"CoralNet","chagos_v2_w_bio","GCB","NorthBro","10m","T2",0.9357,0.7438,1.1517
"CoralNet","chagos_v2_w_bio","GCB","NorthBro","10m","T3",1.3475,1.076,1.6521
"CoralNet","chagos_v2_w_bio","GCB","SouthBro","10m","T1",2.7238,2.1834,3.3295
"CoralNet","chagos_v2_w_bio","GCB","SouthBro","10m","T2",2.7466,2.1641,3.4023
"CoralNet","chagos_v2_w_bio","GCB","SouthBro","10m","T3",4.1489,3.2524,5.1627
"CoralNet","chagos_v2_w_bio","PB","Diamant","10m","T1",5.825,4.5718,7.2426
"CoralNet","chagos_v2_w_bio","PB","Diamant","10m","T2",3.273,2.5534,4.0936
"CoralNet","chagos_v2_w_bio","PB","Diamant","10m","T3",11.8939,9.5991,14.4486
"CoralNet","chagos_v2_w_bio","PB","Poule","10m","T1",3.0295,2.3823,3.7639
"CoralNet","chagos_v2_w_bio","PB","Poule","10m","T2",3.1502,2.4815,3.9007
"CoralNet","chagos_v2_w_bio","PB","Poule","10m","T3",4.9126,3.9001,6.0525
"CoralNet","chagos_v2_w_bio","PB","PtiCoq","10m","T1",2.5763,2.0292,3.1938
"CoralNet","chagos_v2_w_bio","PB","PtiCoq","10m","T2",3.9325,3.1276,4.8336
"CoralNet","chagos_v2_w_bio","PB","PtiCoq","10m","T3",4.4164,3.5426,5.3819
"CoralNet","chagos_v2_w_bio","PB","Yeye","10m","T1",5.1561,4.1097,6.3124
"CoralNet","chagos_v2_w_bio","PB","Yeye","10m","T2",2.6452,2.0757,3.2784
"CoralNet","chagos_v2_w_bio","PB","Yeye","10m","T3",4.0678,3.204,5.0312
"CoralNet","chagos_v2_w_bio","SA","AngMid","10m","T1",11.0452,9.0071,13.2739
"CoralNet","chagos_v2_w_bio","SA","AngMid","10m","T2",8.0002,6.4264,9.7507
"CoralNet","chagos_v2_w_bio","SA","AngMid","10m","T3",4.4072,3.564,5.3415
"CoralNet","chagos_v2_w_bio","SA","AngSTip","10m","T1",6.13,4.9105,7.487
"CoralNet","chagos_v2_w_bio","SA","AngSTip","10m","T2",11.3324,9.2853,13.5522
"CoralNet","chagos_v2_w_bio","SA","AngSTip","10m","T3",6.5452,5.276,7.9391
"CoralNet","chagos_v2_w_bio","SA","Passe","10m","T1",3.057,2.3836,3.8183
"CoralNet","chagos_v2_w_bio","SA","Passe","10m","T2",2.8746,2.2528,3.5768
"CoralNet","chagos_v2_w_bio","SA","Passe","10m","T3",2.8959,2.2638,3.605
"CoralNet","chagos_v2_w_bio","SA","Takamaka","10m","T1",3.6636,2.9544,4.4509
"CoralNet","chagos_v2_w_bio","SA","Takamaka","10m","T2",4.233,3.3725,5.1897
"CoralNet","chagos_v2_w_bio","SA","Takamaka","10m","T3",5.2961,4.1963,6.5203
"CoralNet","chagos_v2_wo_bio","EG","Lubine","10m","T1",5.0728,3.9118,6.393
"CoralNet","chagos_v2_wo_bio","EG","Lubine","10m","T2",3.4141,2.6426,4.2906
"CoralNet","chagos_v2_wo_bio","EG","Lubine","10m","T3",4.9509,3.8057,6.26
"CoralNet","chagos_v2_wo_bio","EG","Middle","10m","T1",14.4317,11.5385,17.6212
"CoralNet","chagos_v2_wo_bio","EG","Middle","10m","T2",3.5473,2.8262,4.3501
"CoralNet","chagos_v2_wo_bio","EG","Middle","10m","T3",9.735,7.844,11.8066
"CoralNet","chagos_v2_wo_bio","EG","North","10m","T1",9.7593,7.9061,11.779
"CoralNet","chagos_v2_wo_bio","EG","North","10m","T2",19.1409,15.4636,23.1468
"CoralNet","chagos_v2_wo_bio","EG","North","10m","T3",10.05,8.0827,12.2106
"CoralNet","chagos_v2_wo_bio","EG","Tattamucca","10m","T1",5.4445,4.3216,6.6905
"CoralNet","chagos_v2_wo_bio","EG","Tattamucca","10m","T2",7.0474,5.6663,8.5612
"CoralNet","chagos_v2_wo_bio","EG","Tattamucca","10m","T3",14.2854,11.5101,17.3155
"CoralNet","chagos_v2_wo_bio","GCB","MidBroCh","10m","T1",1.7435,1.3937,2.129
"CoralNet","chagos_v2_wo_bio","GCB","MidBroCh","10m","T2",2.1941,1.7561,2.6721
"CoralNet","chagos_v2_wo_bio","GCB","MidBroCh","10m","T3",1.0273,0.8141,1.2639
"CoralNet","chagos_v2_wo_bio","GCB","MidBroDr","10m","T1",2.6901,2.1319,3.3098
"CoralNet","chagos_v2_wo_bio","GCB","MidBroDr","10m","T2",0.8217,0.6487,1.0174
"CoralNet","chagos_v2_wo_bio","GCB","MidBroDr","10m","T3",2.4701,1.9587,3.0457
"CoralNet","chagos_v2_wo_bio","GCB","NorthBro","10m","T1",0.5851,0.468,0.7143
"CoralNet","chagos_v2_wo_bio","GCB","NorthBro","10m","T2",0.9814,0.7825,1.2017
"CoralNet","chagos_v2_wo_bio","GCB","NorthBro","10m","T3",1.4271,1.1446,1.74
"CoralNet","chagos_v2_wo_bio","GCB","SouthBro","10m","T1",2.8959,2.3325,3.5199
"CoralNet","chagos_v2_wo_bio","GCB","SouthBro","10m","T2",2.9075,2.304,3.5821
"CoralNet","chagos_v2_wo_bio","GCB","SouthBro","10m","T3",4.3682,3.4416,5.406
"CoralNet","chagos_v2_wo_bio","PB","Diamant","10m","T1",6.1633,4.8645,7.617
"CoralNet","chagos_v2_wo_bio","PB","Diamant","10m","T2",3.4839,2.7382,4.3286
"CoralNet","chagos_v2_wo_bio","PB","Diamant","10m","T3",12.422,10.0397,15.0199
"CoralNet","chagos_v2_wo_bio","PB","Poule","10m","T1",3.1993,2.5297,3.9513
"CoralNet","chagos_v2_wo_bio","PB","Poule","10m","T2",3.325,2.6328,4.0935
"CoralNet","chagos_v2_wo_bio","PB","Poule","10m","T3",5.2034,4.1518,6.376
"CoralNet","chagos_v2_wo_bio","PB","PtiCoq","10m","T1",2.7232,2.1566,3.3578
"CoralNet","chagos_v2_wo_bio","PB","PtiCoq","10m","T2",4.1161,3.2827,5.0337
"CoralNet","chagos_v2_wo_bio","PB","PtiCoq","10m","T3",4.6365,3.73,5.6247
"CoralNet","chagos_v2_wo_bio","PB","Yeye","10m","T1",5.4095,4.3282,6.5905
"CoralNet","chagos_v2_wo_bio","PB","Yeye","10m","T2",2.7987,2.2101,3.4473
"CoralNet","chagos_v2_wo_bio","PB","Yeye","10m","T3",4.2808,3.3886,5.2661
"CoralNet","chagos_v2_wo_bio","SA","AngMid","10m","T1",11.585,9.4571,13.8736
"CoralNet","chagos_v2_wo_bio","SA","AngMid","10m","T2",8.3911,6.7555,10.179
"CoralNet","chagos_v2_wo_bio","SA","AngMid","10m","T3",4.6328,3.7549,5.5902
"CoralNet","chagos_v2_wo_bio","SA","AngSTip","10m","T1",6.457,5.1884,7.8507
"CoralNet","chagos_v2_wo_bio","SA","AngSTip","10m","T2",11.8882,9.7478,14.1733
"CoralNet","chagos_v2_wo_bio","SA","AngSTip","10m","T3",6.8959,5.5737,8.3306
"CoralNet","chagos_v2_wo_bio","SA","Passe","10m","T1",3.2417,2.5449,4.0231
"CoralNet","chagos_v2_wo_bio","SA","Passe","10m","T2",3.0414,2.3976,3.7623
"CoralNet","chagos_v2_wo_bio","SA","Passe","10m","T3",3.0673,2.414,3.7944
"CoralNet","chagos_v2_wo_bio","SA","Takamaka","10m","T1",3.8689,3.1297,4.6765
"CoralNet","chagos_v2_wo_bio","SA","Takamaka","10m","T2",4.4582,3.5666,5.4345
"CoralNet","chagos_v2_wo_bio","SA","Takamaka","10m","T3",5.6041,4.4637,6.8582
"CoralNet","indo_v1_w_bio","EG","Lubine","10m","T1",5.938,5.2427,6.7671
"CoralNet","indo_v1_w_bio","EG","Lubine","10m","T2",3.5108,3.0323,4.0291
"CoralNet","indo_v1_w_bio","EG","Lubine","10m","T3",6.2343,5.5503,6.9752
"CoralNet","indo_v1_w_bio","EG","Middle","10m","T1",8.3335,6.5143,10.2755
"CoralNet","indo_v1_w_bio","EG","Middle","10m","T2",2.7914,2.3432,3.2875
"CoralNet","indo_v1_w_bio","EG","Middle","10m","T3",6.4926,5.2503,7.897
"CoralNet","indo_v1_w_bio","EG","North","10m","T1",7.856,6.4499,10.0722
"CoralNet","indo_v1_w_bio","EG","North","10m","T2",11.4095,8.8379,14.6919
"CoralNet","indo_v1_w_bio","EG","North","10m","T3",5.9731,4.7234,7.3186
"CoralNet","indo_v1_w_bio","EG","Tattamucca","10m","T1",3.6933,2.9878,4.4492
"CoralNet","indo_v1_w_bio","EG","Tattamucca","10m","T2",4.1012,3.1738,5.1213
"CoralNet","indo_v1_w_bio","EG","Tattamucca","10m","T3",6.7104,4.9077,8.6582
"CoralNet","indo_v1_w_bio","GCB","MidBroCh","10m","T1",1.3301,1.0821,1.6699
"CoralNet","indo_v1_w_bio","GCB","MidBroCh","10m","T2",0.9646,0.6926,1.2596
"CoralNet","indo_v1_w_bio","GCB","MidBroCh","10m","T3",0.7707,0.6372,0.9189
"CoralNet","indo_v1_w_bio","GCB","MidBroDr","10m","T1",2.5572,2.2228,2.9267
"CoralNet","indo_v1_w_bio","GCB","MidBroDr","10m","T2",0.6361,0.5261,0.7698
"CoralNet","indo_v1_w_bio","GCB","MidBroDr","10m","T3",2.4025,2.098,2.7519
"CoralNet","indo_v1_w_bio","GCB","NorthBro","10m","T1",0.5248,0.4336,0.658
"CoralNet","indo_v1_w_bio","GCB","NorthBro","10m","T2",0.768,0.6289,0.9181
"CoralNet","indo_v1_w_bio","GCB","NorthBro","10m","T3",1.3471,1.1611,1.554
"CoralNet","indo_v1_w_bio","GCB","SouthBro","10m","T1",2.3826,2.0275,2.7873
"CoralNet","indo_v1_w_bio","GCB","SouthBro","10m","T2",3.2074,2.827,3.6266
"CoralNet","indo_v1_w_bio","GCB","SouthBro","10m","T3",4.1022,3.5291,4.7223
"CoralNet","indo_v1_w_bio","PB","Diamant","10m","T1",5.3588,4.5751,6.2592
"CoralNet","indo_v1_w_bio","PB","Diamant","10m","T2",3.4495,3.0125,3.9446
"CoralNet","indo_v1_w_bio","PB","Diamant","10m","T3",7.0292,5.4602,8.7809
"CoralNet","indo_v1_w_bio","PB","Poule","10m","T1",2.699,2.2751,3.199
"CoralNet","indo_v1_w_bio","PB","Poule","10m","T2",2.7639,2.3288,3.2762
"CoralNet","indo_v1_w_bio","PB","Poule","10m","T3",4.8976,4.2435,5.6277
"CoralNet","indo_v1_w_bio","PB","PtiCoq","10m","T1",3.03,2.673,3.4198
"CoralNet","indo_v1_w_bio","PB","PtiCoq","10m","T2",2.9731,2.4133,3.6385
"CoralNet","indo_v1_w_bio","PB","PtiCoq","10m","T3",3.7826,3.1418,4.681
"CoralNet","indo_v1_w_bio","PB","Yeye","10m","T1",3.5516,2.8986,4.2982
"CoralNet","indo_v1_w_bio","PB","Yeye","10m","T2",1.6013,1.2868,1.9562
"CoralNet","indo_v1_w_bio","PB","Yeye","10m","T3",2.966,2.4501,3.53
"CoralNet","indo_v1_w_bio","SA","AngMid","10m","T1",11.9052,10.0062,15.4196
"CoralNet","indo_v1_w_bio","SA","AngMid","10m","T2",6.0737,4.9014,7.7861
"CoralNet","indo_v1_w_bio","SA","AngMid","10m","T3",3.9214,3.2386,5.0088
"CoralNet","indo_v1_w_bio","SA","AngSTip","10m","T1",6.507,5.5202,8.1264
"CoralNet","indo_v1_w_bio","SA","AngSTip","10m","T2",13.5493,11.5036,17.5962
"CoralNet","indo_v1_w_bio","SA","AngSTip","10m","T3",7.2026,6.1177,9.1721
"CoralNet","indo_v1_w_bio","SA","Passe","10m","T1",2.5675,2.1739,3.0096
"CoralNet","indo_v1_w_bio","SA","Passe","10m","T2",3.1221,2.6993,3.6535
"CoralNet","indo_v1_w_bio","SA","Passe","10m","T3",2.1138,1.7337,2.5405
"CoralNet","indo_v1_w_bio","SA","Takamaka","10m","T1",3.0375,2.4861,3.8505
"CoralNet","indo_v1_w_bio","SA","Takamaka","10m","T2",2.3331,1.7812,2.9409
"CoralNet","indo_v1_w_bio","SA","Takamaka","10m","T3",3.3415,2.653,4.2148
"CoralNet","indo_v1_wo_bio","EG","Lubine","10m","T1",5.97,5.2788,6.77
"CoralNet","indo_v1_wo_bio","EG","Lubine","10m","T2",3.4759,3.0242,3.9544
"CoralNet","indo_v1_wo_bio","EG","Lubine","10m","T3",6.2562,5.5765,6.9627
"CoralNet","indo_v1_wo_bio","EG","Middle","10m","T1",8.3691,6.5893,10.3204
"CoralNet","indo_v1_wo_bio","EG","Middle","10m","T2",2.7963,2.3645,3.2709
"CoralNet","indo_v1_wo_bio","EG","Middle","10m","T3",6.5278,5.3113,7.9328
"CoralNet","indo_v1_wo_bio","EG","North","10m","T1",7.9562,6.5608,10.2192
"CoralNet","indo_v1_wo_bio","EG","North","10m","T2",11.4775,8.9544,14.8299
"CoralNet","indo_v1_wo_bio","EG","North","10m","T3",6.014,4.7898,7.363
"CoralNet","indo_v1_wo_bio","EG","Tattamucca","10m","T1",3.6831,3.0021,4.4234
"CoralNet","indo_v1_wo_bio","EG","Tattamucca","10m","T2",4.0586,3.1763,5.0613
"CoralNet","indo_v1_wo_bio","EG","Tattamucca","10m","T3",6.7017,4.9579,8.6647
"CoralNet","indo_v1_wo_bio","GCB","MidBroCh","10m","T1",1.3393,1.0982,1.678
"CoralNet","indo_v1_wo_bio","GCB","MidBroCh","10m","T2",0.946,0.6923,1.2286
"CoralNet","indo_v1_wo_bio","GCB","MidBroCh","10m","T3",0.7578,0.6353,0.8924
"CoralNet","indo_v1_wo_bio","GCB","MidBroDr","10m","T1",2.5801,2.2479,2.9373
"CoralNet","indo_v1_wo_bio","GCB","MidBroDr","10m","T2",0.6141,0.5238,0.7213
"CoralNet","indo_v1_wo_bio","GCB","MidBroDr","10m","T3",2.4199,2.1241,2.7459
"CoralNet","indo_v1_wo_bio","GCB","NorthBro","10m","T1",0.5141,0.4306,0.6414
"CoralNet","indo_v1_wo_bio","GCB","NorthBro","10m","T2",0.7413,0.618,0.875
"CoralNet","indo_v1_wo_bio","GCB","NorthBro","10m","T3",1.3542,1.1737,1.5515
"CoralNet","indo_v1_wo_bio","GCB","SouthBro","10m","T1",2.4145,2.0671,2.8038
"CoralNet","indo_v1_wo_bio","GCB","SouthBro","10m","T2",3.2313,2.8542,3.6338
"CoralNet","indo_v1_wo_bio","GCB","SouthBro","10m","T3",4.1155,3.5521,4.7168
"CoralNet","indo_v1_wo_bio","PB","Diamant","10m","T1",5.4131,4.6369,6.2947
"CoralNet","indo_v1_wo_bio","PB","Diamant","10m","T2",3.4719,3.0452,3.9379
"CoralNet","indo_v1_wo_bio","PB","Diamant","10m","T3",7.0483,5.5243,8.8023
"CoralNet","indo_v1_wo_bio","PB","Poule","10m","T1",2.7091,2.2964,3.1956
"CoralNet","indo_v1_wo_bio","PB","Poule","10m","T2",2.7715,2.3496,3.2669
"CoralNet","indo_v1_wo_bio","PB","Poule","10m","T3",4.9435,4.2985,5.6471
"CoralNet","indo_v1_wo_bio","PB","PtiCoq","10m","T1",3.0647,2.7042,3.4475
"CoralNet","indo_v1_wo_bio","PB","PtiCoq","10m","T2",2.9682,2.4263,3.6279
"CoralNet","indo_v1_wo_bio","PB","PtiCoq","10m","T3",3.7973,3.1714,4.6948
"CoralNet","indo_v1_wo_bio","PB","Yeye","10m","T1",3.6031,2.9527,4.3521
